Symbol,ScriptCode,SearchUsed,BroadSector,Sector,BroadIndustry,Industry,MarketCap_Cr,Benchmarks,Status,LastUpdated
HINDUNILVR,,DIRECT_SYMBOL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,510848.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE 500 Quality 50|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE Fast Moving Consumer Goods|BSE India 150|BSE India Manufacturing Index|BSE India Sector Leaders|BSE Low Volatility Index|BSE Quality Index|BSE SENSEX 50|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Quality Low-Volatility 30|Nifty Alpha Quality Value Low-Volatility 30|Nifty Dividend Opportunities 50|Nifty FMCG|Nifty Growth Sectors 15|Nifty India Consumption|Nifty India FPI 150|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty MNC|Nifty Non-Cyclical Consumer|Nifty Quality Low-Volatility 30|Nifty Rural|Nifty Shariah 25|Nifty Top 15 Equal Weight|Nifty Top 20 Equal Weight|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty100 Quality 30|Nifty200 Quality 30|Nifty50 Shariah|Nifty500 Equal Weight|Nifty500 Flexicap Quality 30|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Shariah,ACTIVE,2026-06-27 00:59:48
ICICIBANK,,DIRECT_SYMBOL,Financial Services,Financial Services,Banks,Private Sector Bank,995339.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE BANKEX|BSE Diversified Financials Revenue Growth|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE Financial Services|BSE India 150|BSE India Sector Leaders|BSE Low Volatility Index|BSE Private Banks Index|BSE SENSEX 50|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|BSE TOP 10 Banks|NIFTY Housing|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Low-Volatility 30|Nifty Alpha Quality Low-Volatility 30|Nifty Alpha Quality Value Low-Volatility 30|Nifty Bank|Nifty Financial Services|Nifty Financial Services 25/50|Nifty India FPI 150|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Private Bank|Nifty Quality Low-Volatility 30|Nifty Services Sector|Nifty Top 10 Equal Weight Index|Nifty Top 15 Equal Weight|Nifty Top 20 Equal Weight|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty50 Value 20|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted,ACTIVE,2026-06-27 01:06:04
INDIGO,,DIRECT_SYMBOL,Services,Services,Transport Services,Airline,162126.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 200|BSE 250 LargeMidCap Index|BSE 500|BSE Allcap|BSE Dollex 200|BSE India Infrastructure Index|BSE SENSEX 50|BSE Sensex|BSE Services|Nifty 100|Nifty 100 Alpha 30 Index|Nifty 100 Equal Weight|Nifty 100 Liquid 15|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty India Consumption|Nifty India New Age Consumption|Nifty India Tourism|Nifty Infrastructure|Nifty LargeMidcap 250|Nifty Midsmallcap400 Momentum Quality 100|Nifty Services Sector|Nifty Total Market|Nifty200 Momentum 30|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Momentum 50|Nifty500 Multicap Infrastructure 50:30:20,ACTIVE,2026-04-04 19:04:29
INFY,,DIRECT_SYMBOL,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,527551.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 200|BSE 250 LargeMidCap Index|BSE 500|BSE Allcap|BSE Dividend Stability Index|BSE Dollex 200|BSE Information Technology|BSE Quality Index|BSE SENSEX 50|BSE Sensex|BSE Teck|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Quality Low-Volatility 30|Nifty Alpha Quality Value Low-Volatility 30|Nifty Dividend Opportunities 50|Nifty Growth Sectors 15|Nifty IT|Nifty India Digital Index|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Quality Low-Volatility 30|Nifty Services Sector|Nifty Total Market|Nifty100 ESG|Nifty100 Quality 30|Nifty200 Quality 30|Nifty50 Value 20|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted,ACTIVE,2026-04-04 19:01:26
ITC,,DIRECT_SYMBOL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG,366925.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 200|BSE 250 LargeMidCap Index|BSE 500|BSE Allcap|BSE Bharat 22 Index|BSE Dividend Stability Index|BSE Dollex 200|BSE Fast Moving Consumer Goods|BSE India Manufacturing Index|BSE Low Volatility Index|BSE Quality Index|BSE SENSEX 50|BSE Sensex|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Quality Low-Volatility 30|Nifty Alpha Quality Value Low-Volatility 30|Nifty Dividend Opportunities 50|Nifty FMCG|Nifty India Consumption|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Quality Low-Volatility 30|Nifty Total Market|Nifty100 Quality 30|Nifty200 Quality 30|Nifty50 Value 20|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted,ACTIVE,2026-04-04 19:10:10
JIOFIN,,DIRECT_SYMBOL,Financial Services,Financial Services,Finance,Investment Company,145792.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 200|BSE 250 LargeMidCap Index|BSE 500|BSE Allcap|BSE Diversified Financials Revenue Growth|BSE Dollex 200|BSE Financial Services|BSE SENSEX 50|Nifty 100|Nifty 100 Equal Weight|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Financial Services|Nifty Financial Services 25/50|Nifty LargeMidcap 250|Nifty Services Sector|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted,ACTIVE,2026-04-04 19:18:37
JSWSTEEL,,DIRECT_SYMBOL,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,279100.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 200|BSE 250 LargeMidCap Index|BSE 500|BSE Allcap|BSE Commodities|BSE Dividend Stability Index|BSE Dollex 200|BSE India Manufacturing Index|BSE Metal|BSE SENSEX 50|Nifty 100|Nifty 100 Alpha 30 Index|Nifty 100 Equal Weight|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Commodities|Nifty India Manufacturing|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Metal|Nifty Midsmallcap400 Momentum Quality 100|Nifty Total Market|Nifty100 ESG|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Multicap India Manufacturing 50:30:20,ACTIVE,2026-04-04 19:21:33
KOTAKBANK,,DIRECT_SYMBOL,Financial Services,Financial Services,Banks,Private Sector Bank,406820.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE BANKEX|BSE Diversified Financials Revenue Growth|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE Financial Services|BSE India 150|BSE Private Banks Index|BSE SENSEX 50|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|BSE TOP 10 Banks|NIFTY Housing|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Liquid 15|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Low-Volatility 30|Nifty Alpha Quality Value Low-Volatility 30|Nifty Bank|Nifty Financial Services|Nifty Financial Services 25/50|Nifty India FPI 150|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Private Bank|Nifty Quality Low-Volatility 30|Nifty Services Sector|Nifty Top 10 Equal Weight Index|Nifty Top 15 Equal Weight|Nifty Top 20 Equal Weight|Nifty Total Market|Nifty100 Enhanced ESG|Nifty50 Value 20|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted,ACTIVE,2026-06-27 14:23:22
LT,,DIRECT_SYMBOL,Industrials,Construction,Construction,Civil Construction,580062.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE Bharat 22 Index|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE India 150|BSE India Defence|BSE India Infrastructure Index|BSE India Manufacturing Index|BSE India Sector Leaders|BSE Industrials|BSE Low Volatility Index|BSE SENSEX 50|BSE Select Business Groups|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|NIFTY Housing|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Conglomerate 50|Nifty India FPI 150|Nifty India Infrastructure & Logistics|Nifty Infrastructure|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Top 10 Equal Weight Index|Nifty Top 15 Equal Weight|Nifty Top 20 Equal Weight|Nifty Total Market|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Multicap Infrastructure 50:30:20,ACTIVE,2026-06-27 14:32:12
M&M,,DIRECT_SYMBOL,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,374514.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 200|BSE 250 LargeMidCap Index|BSE 500|BSE Allcap|BSE Auto|BSE Consumer Discretionary|BSE Dividend Stability Index|BSE Dollex 200|BSE India Manufacturing Index|BSE SENSEX 50|BSE Sensex|Nifty 100|Nifty 100 Alpha 30 Index|Nifty 100 Equal Weight|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha 50|Nifty Auto|Nifty EV & New Age Automotive|Nifty Growth Sectors 15|Nifty India Consumption|Nifty India Manufacturing|Nifty India New Age Consumption|Nifty LargeMidcap 250|Nifty Midsmallcap400 Momentum Quality 100|Nifty Total Market|Nifty100 ESG|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Momentum 50|Nifty500 Multicap India Manufacturing 50:30:20,ACTIVE,2026-04-04 20:00:33
MARUTI,,DIRECT_SYMBOL,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles,397122.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 200|BSE 250 LargeMidCap Index|BSE 500|BSE Allcap|BSE Auto|BSE Consumer Discretionary|BSE Dividend Stability Index|BSE Dollex 200|BSE India Manufacturing Index|BSE Low Volatility Index|BSE SENSEX 50|BSE Sensex|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Liquid 15|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha 50|Nifty Alpha Low-Volatility 30|Nifty Alpha Quality Low-Volatility 30|Nifty Auto|Nifty EV & New Age Automotive|Nifty Growth Sectors 15|Nifty India Consumption|Nifty India Manufacturing|Nifty India New Age Consumption|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty MNC|Nifty Quality Low-Volatility 30|Nifty Total Market|Nifty100 ESG|Nifty100 Quality 30|Nifty200 Momentum 30|Nifty50 Value 20|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Momentum 50|Nifty500 Multicap India Manufacturing 50:30:20|Nifty500 Multifactor MQVLv50,ACTIVE,2026-04-04 20:08:52
MAXHEALTH,,DIRECT_SYMBOL,Healthcare,Healthcare,Healthcare Services,Hospital,91928.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 200|BSE 250 LargeMidCap Index|BSE 500|BSE Allcap|BSE Dollex 200|BSE Healthcare|BSE SENSEX 50|Nifty 100|Nifty 100 Equal Weight|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Healthcare Index|Nifty India Consumption|Nifty Infrastructure|Nifty LargeMidcap 250|Nifty Services Sector|Nifty Total Market|Nifty100 ESG|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Multicap Infrastructure 50:30:20,ACTIVE,2026-04-04 20:11:06
NESTLEIND,,DIRECT_SYMBOL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods,270465.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE 500 Quality 50|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Fast Moving Consumer Goods|BSE India 150|BSE India Manufacturing Index|BSE India Sector Leaders|BSE Low Volatility Index|BSE Quality Index|BSE SENSEX 50|BSE SENSEX Next 30|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Low-Volatility 30|Nifty Alpha Quality Low-Volatility 30|Nifty Alpha Quality Value Low-Volatility 30|Nifty FMCG|Nifty Growth Sectors 15|Nifty India Consumption|Nifty India FPI 150|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty MNC|Nifty Non-Cyclical Consumer|Nifty Quality Low-Volatility 30|Nifty Rural|Nifty Shariah 25|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty100 Quality 30|Nifty200 Quality 30|Nifty50 Shariah|Nifty500 Equal Weight|Nifty500 Flexicap Quality 30|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Multicap Momentum Quality 50|Nifty500 Shariah,ACTIVE,2026-06-27 14:58:18
NTPC,,DIRECT_SYMBOL,Utilities,Power,Power,Power Generation,341371.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE 500 Dividend Leaders 50|BSE Bharat 22 Index|BSE CPSE|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE India 150|BSE India Infrastructure Index|BSE India Sector Leaders|BSE Low Volatility Index|BSE PSU|BSE Power|BSE Power & Energy|BSE SENSEX 50|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|BSE Utilities|NIFTY Housing|Nifty 100|Nifty 100 Equal Weight|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty CPSE|Nifty Commodities|Nifty Dividend Opportunities 50|Nifty Energy|Nifty India FPI 150|Nifty India Infrastructure & Logistics|Nifty India Railways PSU|Nifty Infrastructure|Nifty LargeMidcap 250|Nifty PSE|Nifty Rural|Nifty Services Sector|Nifty Top 20 Equal Weight|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty200 Value 30|Nifty50 Value 20|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Multicap Infrastructure 50:30:20|Nifty500 Value 50,ACTIVE,2026-06-27 15:08:30
ONGC,,DIRECT_SYMBOL,Energy,"Oil, Gas & Consumable Fuels",Oil,Oil Exploration & Production,293246.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE 500 Dividend Leaders 50|BSE Bharat 22 Index|BSE CPSE|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Energy|BSE Enhanced Value Index|BSE India 150|BSE India Infrastructure Index|BSE India Manufacturing Index|BSE India Sector Leaders|BSE Oil & Gas|BSE PSU|BSE Power & Energy|BSE SENSEX 50|BSE SENSEX Next 30|BSE Sensex Sixty|BSE Sensex Sixty 65:35|Nifty 100|Nifty 100 Equal Weight|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty CPSE|Nifty Commodities|Nifty Dividend Opportunities 50|Nifty Energy|Nifty India FPI 150|Nifty India Railways PSU|Nifty Infrastructure|Nifty LargeMidcap 250|Nifty Oil & Gas|Nifty PSE|Nifty Shariah 25|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty200 Value 30|Nifty50 Shariah|Nifty50 Value 20|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Low Volatility 50|Nifty500 Multicap Infrastructure 50:30:20|Nifty500 Multifactor MQVLv50|Nifty500 Shariah|Nifty500 Value 50,ACTIVE,2026-06-27 15:10:15
POWERGRID,,DIRECT_SYMBOL,Utilities,Power,Power,Power - Transmission,269671.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 200|BSE 250 LargeMidCap Index|BSE 500|BSE Allcap|BSE Bharat 22 Index|BSE CPSE|BSE Dividend Stability Index|BSE Dollex 200|BSE India Infrastructure Index|BSE PSU|BSE Power|BSE SENSEX 50|BSE Sensex|BSE Utilities|Nifty 100|Nifty 100 Equal Weight|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty CPSE|Nifty Dividend Opportunities 50|Nifty Energy|Nifty Infrastructure|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty PSE|Nifty Services Sector|Nifty Total Market|Nifty100 ESG|Nifty200 Value 30|Nifty50 Value 20|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Multicap Infrastructure 50:30:20|Nifty500 Value 50,ACTIVE,2026-04-04 21:13:00
RELIANCE,,DIRECT_SYMBOL,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing,1783723.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE Energy|BSE India 150|BSE India Manufacturing Index|BSE India Sector Leaders|BSE Low Volatility Index|BSE Oil & Gas|BSE Power & Energy|BSE SENSEX 50|BSE Select Business Groups|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|NIFTY Mobility|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Liquid 15|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Low-Volatility 30|Nifty Alpha Quality Value Low-Volatility 30|Nifty Commodities|Nifty EV & New Age Automotive|Nifty Energy|Nifty India FPI 150|Nifty India Manufacturing|Nifty India Select 5 Corporate Groups|Nifty Infrastructure|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Oil & Gas|Nifty Top 10 Equal Weight Index|Nifty Top 15 Equal Weight|Nifty Top 20 Equal Weight|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Multicap India Manufacturing 50:30:20|Nifty500 Multicap Infrastructure 50:30:20,ACTIVE,2026-06-27 15:43:38
SBILIFE,,DIRECT_SYMBOL,Financial Services,Financial Services,Insurance,Life Insurance,177935.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 200|BSE 250 LargeMidCap Index|BSE 500|BSE Allcap|BSE Dividend Stability Index|BSE Dollex 200|BSE Financial Services|BSE Low Volatility Index|BSE Momentum Index|BSE SENSEX 50|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha 50|Nifty Alpha Low-Volatility 30|Nifty Financial Services|Nifty Financial Services 25/50|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Services Sector|Nifty Total Market|Nifty100 ESG|Nifty100 ESG Sector Leaders|Nifty200 Momentum 30|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted,ACTIVE,2026-04-04 22:04:34
SBIN,,DIRECT_SYMBOL,Financial Services,Financial Services,Banks,Public Sector Bank,964969.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE 500 Momentum 50|BSE BANKEX|BSE Bharat 22 Index|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE Enhanced Value Index|BSE Financial Services|BSE India 150|BSE India Sector Leaders|BSE Low Volatility Index|BSE Momentum Index|BSE PSU|BSE PSU Bank|BSE SENSEX 50|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|BSE TOP 10 Banks|NIFTY Housing|Nifty 100|Nifty 100 Alpha 30 Index|Nifty 100 Equal Weight|Nifty 100 Liquid 15|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha 50|Nifty Alpha Low-Volatility 30|Nifty Bank|Nifty Dividend Opportunities 50|Nifty Financial Services|Nifty Financial Services 25/50|Nifty India FPI 150|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty PSU Bank|Nifty Rural|Nifty Services Sector|Nifty Top 15 Equal Weight|Nifty Top 20 Equal Weight|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty200 Alpha30|Nifty200 Momentum 30|Nifty200 Value 30|Nifty50 Value 20|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Value 50,ACTIVE,2026-06-27 17:12:20
SHRIRAMFIN,,DIRECT_SYMBOL,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),242774.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE 500 Momentum 50|BSE Diversified Financials Revenue Growth|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Financial Services|BSE India 150|BSE Momentum Index|BSE SENSEX 50|BSE SENSEX Next 30|BSE Sensex Sixty|BSE Sensex Sixty 65:35|Nifty 100|Nifty 100 Alpha 30 Index|Nifty 100 Equal Weight|Nifty 100 Liquid 15|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha 50|Nifty Dividend Opportunities 50|Nifty Financial Services|Nifty Financial Services 25/50|Nifty Financial Services Ex-Bank|Nifty High Beta 50|Nifty India FPI 150|Nifty LargeMidcap 250|Nifty Rural|Nifty Services Sector|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty200 Alpha30|Nifty200 Momentum 30|Nifty200 Value 30|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Momentum 50,ACTIVE,2026-06-27 16:52:05
SUNPHARMA,,DIRECT_SYMBOL,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,446948.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE Healthcare|BSE India 150|BSE India Manufacturing Index|BSE India Sector Leaders|BSE Low Volatility Index|BSE SENSEX 50|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Low-Volatility 30|Nifty Alpha Quality Low-Volatility 30|Nifty Alpha Quality Value Low-Volatility 30|Nifty Growth Sectors 15|Nifty Healthcare Index|Nifty India FPI 150|Nifty India Manufacturing|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Pharma|Nifty Quality Low-Volatility 30|Nifty Top 20 Equal Weight|Nifty Total Market|Nifty50 Shariah|Nifty500 Equal Weight|Nifty500 Healthcare|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Multicap India Manufacturing 50:30:20|Nifty500 Shariah,ACTIVE,2026-06-27 17:18:50
TATACONSUM,,DIRECT_SYMBOL,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee,111959.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Fast Moving Consumer Goods|BSE India 150|BSE India Manufacturing Index|BSE SENSEX 50|BSE SENSEX Next 30|BSE Select Business Groups|BSE Sensex Sixty|BSE Sensex Sixty 65:35|Nifty 100|Nifty 100 Equal Weight|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Low-Volatility 30|Nifty FMCG|Nifty India Consumption|Nifty India FPI 150|Nifty India Select 5 Corporate Groups|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Non-Cyclical Consumer|Nifty Rural|Nifty Shariah 25|Nifty Tata Group 25% Cap|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty50 Shariah|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Shariah,ACTIVE,2026-06-27 17:33:05
