Symbol,ScriptCode,SearchUsed,BroadSector,Sector,BroadIndustry,Industry,MarketCap_Cr,Benchmarks,Status,LastUpdated
CIPLA,,DIRECT_SYMBOL,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,116338.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Healthcare|BSE India 150|BSE India Manufacturing Index|BSE India Sector Leaders|BSE Low Volatility Index|BSE SENSEX 50|BSE SENSEX Next 30|BSE Sensex Sixty|BSE Sensex Sixty 65:35|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Quality Value Low-Volatility 30|Nifty Growth Sectors 15|Nifty Healthcare Index|Nifty India FPI 150|Nifty India Manufacturing|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Pharma|Nifty Quality Low-Volatility 30|Nifty Shariah 25|Nifty Total Market|Nifty50 Shariah|Nifty50 Value 20|Nifty500 Equal Weight|Nifty500 Healthcare|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Multicap India Manufacturing 50:30:20|Nifty500 Shariah,ACTIVE,2026-06-26 23:12:27
COALINDIA,,DIRECT_SYMBOL,Energy,"Oil, Gas & Consumable Fuels",Consumable Fuels,Coal,268325.0,BSE 100|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE 500 Dividend Leaders 50|BSE 500 Quality 50|BSE Bharat 22 Index|BSE CPSE|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Energy|BSE Enhanced Value Index|BSE India 150|BSE India Manufacturing Index|BSE Low Volatility Index|BSE PSU|BSE Power & Energy|BSE SENSEX 50|BSE SENSEX Next 30|BSE Sensex Sixty|BSE Sensex Sixty 65:35|Nifty 100|Nifty 100 Equal Weight|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Quality Low-Volatility 30|Nifty Alpha Quality Value Low-Volatility 30|Nifty CPSE|Nifty Commodities|Nifty Dividend Opportunities 50|Nifty Energy|Nifty India FPI 150|Nifty LargeMidcap 250|Nifty PSE|Nifty Quality Low-Volatility 30|Nifty Total Market|Nifty100 Quality 30|Nifty200 Quality 30|Nifty200 Value 30|Nifty50 Value 20|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Low Volatility 50|Nifty500 Multifactor MQVLv50|Nifty500 Quality 50|Nifty500 Value 50,ACTIVE,2026-06-26 23:14:13
DRREDDY,,DIRECT_SYMBOL,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,112723.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Healthcare|BSE India 150|BSE India Manufacturing Index|BSE Low Volatility Index|BSE SENSEX 50|BSE SENSEX Next 30|BSE Sensex Sixty|BSE Sensex Sixty 65:35|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Low-Volatility 30|Nifty Alpha Quality Low-Volatility 30|Nifty Alpha Quality Value Low-Volatility 30|Nifty Healthcare Index|Nifty India FPI 150|Nifty India Manufacturing|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Pharma|Nifty Quality Low-Volatility 30|Nifty Shariah 25|Nifty Total Market|Nifty100 Quality 30|Nifty50 Shariah|Nifty50 Value 20|Nifty500 Equal Weight|Nifty500 Healthcare|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Low Volatility 50|Nifty500 Multicap India Manufacturing 50:30:20|Nifty500 Multifactor MQVLv50|Nifty500 Shariah,ACTIVE,2026-06-26 23:45:42
EICHERMOT,,DIRECT_SYMBOL,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,208563.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE 500 Momentum 50|BSE Auto|BSE Consumer Discretionary|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE India 150|BSE India Manufacturing Index|BSE Momentum Index|BSE SENSEX 50|BSE SENSEX Next 30|BSE Sensex Sixty|BSE Sensex Sixty 65:35|NIFTY Mobility|Nifty 100|Nifty 100 Alpha 30 Index|Nifty 100 Equal Weight|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha 50|Nifty Alpha Low-Volatility 30|Nifty Alpha Quality Low-Volatility 30|Nifty Alpha Quality Value Low-Volatility 30|Nifty Auto|Nifty EV & New Age Automotive|Nifty Growth Sectors 15|Nifty India Consumption|Nifty India FPI 150|Nifty India Manufacturing|Nifty India New Age Consumption|Nifty LargeMidcap 250|Nifty Quality Low-Volatility 30|Nifty Rural|Nifty Total Market|Nifty Total Market Momentum Quality 50|Nifty Transportation & Logistics|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty100 Quality 30|Nifty200 Alpha30|Nifty200 Momentum 30|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Low Volatility 50|Nifty500 Momentum 50|Nifty500 Multicap India Manufacturing 50:30:20|Nifty500 Multicap Momentum Quality 50|Nifty500 Multifactor MQVLv50,ACTIVE,2026-06-26 23:51:17
ETERNAL,,DIRECT_SYMBOL,Consumer Discretionary,Consumer Services,Retailing,E-Retail/ E-Commerce,246229.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE Consumer Discretionary|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE India 150|BSE India Sector Leaders|BSE Internet Economy|BSE Premium Consumption|BSE SENSEX 50|BSE Select IPO|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|NIFTY Mobility|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Liquid 15|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty India Consumption|Nifty India Digital Index|Nifty India FPI 150|Nifty India Internet|Nifty India New Age Consumption|Nifty LargeMidcap 250|Nifty Non-Cyclical Consumer|Nifty Services Sector|Nifty Top 20 Equal Weight|Nifty Total Market|Nifty Transportation & Logistics|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted,ACTIVE,2026-06-27 00:04:50
GRASIM,,DIRECT_SYMBOL,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,212772.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE Commodities|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE India 150|BSE India Manufacturing Index|BSE India Sector Leaders|BSE Low Volatility Index|BSE SENSEX 50|BSE SENSEX Next 30|BSE Select Business Groups|BSE Sensex Sixty|BSE Sensex Sixty 65:35|NIFTY Housing|Nifty 100|Nifty 100 Equal Weight|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Low-Volatility 30|Nifty Commodities|Nifty Conglomerate 50|Nifty Core Housing|Nifty India FPI 150|Nifty India Infrastructure & Logistics|Nifty India Select 5 Corporate Groups|Nifty Infrastructure|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Rural|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty200 Value 30|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Multicap Infrastructure 50:30:20|Nifty500 Value 50,ACTIVE,2026-06-27 00:40:06
HCLTECH,,DIRECT_SYMBOL,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting,298693.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE 500 Dividend Leaders 50|BSE 500 Quality 50|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE Focused IT|BSE India 150|BSE Information Technology|BSE SENSEX 50|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|BSE Teck|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Quality Value Low-Volatility 30|Nifty Dividend Opportunities 50|Nifty IT|Nifty India Digital Index|Nifty India FPI 150|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Quality Low-Volatility 30|Nifty Services Sector|Nifty Shariah 25|Nifty Top 20 Equal Weight|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty100 Quality 30|Nifty200 Quality 30|Nifty50 Shariah|Nifty50 Value 20|Nifty500 Equal Weight|Nifty500 Flexicap Quality 30|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Shariah,ACTIVE,2026-06-27 00:52:01
HDFCBANK,,DIRECT_SYMBOL,Financial Services,Financial Services,Banks,Private Sector Bank,1226366.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE BANKEX|BSE Diversified Financials Revenue Growth|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Dollex 30|BSE Financial Services|BSE India 150|BSE India Sector Leaders|BSE Low Volatility Index|BSE Private Banks Index|BSE SENSEX 50|BSE Sensex|BSE Sensex Equal Weight|BSE Sensex Sixty|BSE Sensex Sixty 65:35|BSE TOP 10 Banks|NIFTY Housing|Nifty 100|Nifty 100 Equal Weight|Nifty 100 Low Volatility 30|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Low-Volatility 30|Nifty Alpha Quality Value Low-Volatility 30|Nifty Bank|Nifty Financial Services|Nifty Financial Services 25/50|Nifty India FPI 150|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Private Bank|Nifty Quality Low-Volatility 30|Nifty Services Sector|Nifty Top 10 Equal Weight Index|Nifty Top 15 Equal Weight|Nifty Top 20 Equal Weight|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted,ACTIVE,2026-06-27 00:52:35
HDFCLIFE,,DIRECT_SYMBOL,Financial Services,Financial Services,Insurance,Life Insurance,127188.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE Capital Markets & Insurance|BSE Diversified Financials Revenue Growth|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Financial Services|BSE India 150|BSE Low Volatility Index|BSE SENSEX Next 30|BSE SENSEX Next 50|BSE Sensex Sixty|BSE Sensex Sixty 65:35|Nifty 100|Nifty 100 Equal Weight|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Alpha Low-Volatility 30|Nifty Financial Services|Nifty Financial Services 25/50|Nifty Financial Services Ex-Bank|Nifty India FPI 150|Nifty LargeMidcap 250|Nifty Low Volatility 50|Nifty Rural|Nifty Services Sector|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Low Volatility 50,ACTIVE,2026-06-27 00:52:46
HINDALCO,,DIRECT_SYMBOL,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium,214206.0,BSE 100|BSE 100 ESG Index (INR)|BSE 100 LargeCap TMC Index|BSE 1000|BSE 200|BSE 200 Equal Weight|BSE 250 LargeMidCap Index|BSE 500|BSE 500 Momentum 50|BSE Commodities|BSE Dividend Stability Index|BSE Dollex 100|BSE Dollex 200|BSE Enhanced Value Index|BSE India 150|BSE India Manufacturing Index|BSE Metal|BSE Momentum Index|BSE SENSEX 50|BSE SENSEX Next 30|BSE Select Business Groups|BSE Sensex Sixty|BSE Sensex Sixty 65:35|Nifty 100|Nifty 100 Alpha 30 Index|Nifty 100 Equal Weight|Nifty 200|Nifty 50|Nifty 50 Equal Weight|Nifty 500|Nifty 500 Multicap 50:25:25|Nifty Commodities|Nifty Conglomerate 50|Nifty India FPI 150|Nifty India Manufacturing|Nifty India Select 5 Corporate Groups|Nifty LargeMidcap 250|Nifty Metal|Nifty Total Market|Nifty100 ESG|Nifty100 Enhanced ESG|Nifty200 Momentum 30|Nifty200 Value 30|Nifty50 Shariah|Nifty50 Value 20|Nifty500 Equal Weight|Nifty500 LargeMidSmall Equal-Cap Weighted|Nifty500 Momentum 50|Nifty500 Multicap India Manufacturing 50:30:20|Nifty500 Shariah|Nifty500 Value 50,ACTIVE,2026-06-27 00:57:33
